0.729263,0.889620,1
0.736175,0.644006,-1
0.160138,0.777047,1
0.632488,0.915936,1
0.192396,0.540497,1
0.706221,0.516813,1
0.597926,0.527047,1
0.173963,0.432456,1
0.319124,0.809211,-1
0.153226,0.594298,1
0.176267,0.860380,1
0.137097,0.712719,1
0.752304,0.633772,-1
0.802995,0.476316,-1
0.464286,0.538743,-1
0.457373,0.959795,1
0.353687,0.823830,-1
0.339862,0.611842,-1
0.554147,0.679094,-1
0.107143,0.699561,1
0.508065,0.450000,1
0.867512,0.775585,1
0.289171,0.741959,-1
0.521889,0.927632,1
0.957373,0.557018,1
0.664747,0.535819,1
0.948157,0.434211,1
0.141705,0.595760,1
0.998848,0.514912,1
0.100230,0.838450,1
0.989631,0.638158,-1
0.579493,0.562135,1
0.533410,0.535965,1
0.563364,0.921784,1
0.699309,0.701023,-1
0.282258,0.652778,-1
0.517281,0.435965,1
0.766129,0.756579,1
0.266129,0.933480,1
0.989631,0.453509,1
0.498848,0.945175,1
0.448157,0.958333,1
0.904378,0.560526,1
0.745392,0.875000,1
0.678571,0.639620,-1
0.434332,0.933480,1
0.782258,0.763889,1
0.574885,0.674708,-1
0.685484,0.765789,-1
0.842166,0.574561,-1
0.726959,0.667398,-1
0.551843,0.607456,1
0.332949,0.739035,-1
0.374424,0.768275,-1
0.915899,0.557018,1
0.127880,0.877924,1
0.918203,0.486842,1
0.851382,0.788743,1
0.966590,0.434211,1
0.519585,0.677632,-1
0.756912,0.937865,1
0.372120,0.851608,-1
0.814516,0.654240,-1
0.784562,0.597222,-1
0.328341,0.668860,-1
0.766129,0.914474,1
0.770737,0.926170,1
0.487327,0.448246,1
0.337558,0.585088,-1
0.620968,0.471053,-1
0.959677,0.542982,1
0.077189,0.623538,1
0.503456,0.485088,1
0.293779,0.933480,1
0.563364,0.797368,-1
0.611751,0.566520,1
0.353687,0.714181,-1
0.809908,0.658626,-1
0.328341,0.929094,1
0.070277,0.765351,1
0.644009,0.575292,1
0.832949,0.918860,1
0.344470,0.665936,-1
0.955069,0.822368,1
0.595622,0.871053,-1
0.915899,0.525439,1
0.459677,0.762281,1
0.740783,0.915936,1
0.346774,0.565058,-1
